date,corr_dim_raw,corr_dim_scaled,lyap_raw,lyap_scaled,ret_raw,ret_scaled,macd_raw,macd_scaled,rsi_raw,rsi_scaled
2004-12-27,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,0.0,-0.015694098411594935,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
2004-12-28,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,0.00051390127626133,0.016601057409745913,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
2004-12-29,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,-0.005730302235828207,-0.37580412762923443,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
2004-12-30,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,-0.0002987003003285213,-0.03446535504899899,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
2004-12-31,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,-0.0009500331921481533,-0.07539714137556738,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
2005-01-04,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,-0.01875370494266175,-1.1942352916868633,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
2005-01-05,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,0.005254160567293376,0.3144937062686103,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
2005-01-06,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,-0.01079743755139386,-0.6942386833371588,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
2005-01-07,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,0.001357135037882877,0.06959249172471926,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
2005-01-10,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,0.011312433431719419,0.6952144306618812,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
2005-01-11,3.3749433957309227,-0.4823691250083616,0.04375430471373181,0.09433749472315804,0.005835380299309579,0.35101936339182005,0.0,0.00036591347752031034,21.042305462173374,-2.3509767221052114
