Model,Step,RMSE_mean,RMSE_std,MAE_mean,MAE_std,DA_mean,DA_std
DS-LDE,t+1,0.010560381479001556,1.832939711120405e-05,0.00748113701120019,3.970702796582328e-05,0.48511576626240355,0.009861380275633035
DS-LDE,t+2,0.010517433705391967,5.143002958454916e-05,0.007417084090411663,4.048020103948291e-05,0.4996692392502757,0.01001791990438858
DS-LDE,t+3,0.010528455990140377,3.550926138341555e-05,0.007435084693133831,3.011559659186411e-05,0.491510474090408,0.007260012186617124
DS-LDE,t+4,0.010497123035668984,3.193751985411361e-05,0.00742609091103077,3.8747515169336654e-05,0.49106945975744215,0.01092790447044223
