Asset,Model,Step,RMSE_mean,RMSE_std,MAE_mean,MAE_std,DA_mean,DA_std
sz50,DS-LDE,t+1,0.010568723997139968,1.86526725104795e-05,0.007495898753404617,3.5768252664313375e-05,0.4799705990444689,0.008168361180041488
sz50,DS-LDE,t+2,0.010518138947147357,6.502929887449352e-05,0.007425511876742045,4.781907813103183e-05,0.49797868430724,0.011987876832267633
sz50,DS-LDE,t+3,0.010525473976119212,4.5490167088881203e-05,0.007428839647521575,3.753782500949698e-05,0.4898934215361999,0.007220464058944682
sz50,DS-LDE,t+4,0.010501085386870682,3.9907639666865025e-05,0.0074226027354598045,3.5323474647830744e-05,0.4932010290334436,0.013513249769092434
